supplier_clean,amount,rowcount
Judge & Priestley Solicitors LLP,14648687.26,4959
Mclaughlin & Harvey Ltd,14648107.57,36
Shuttleworth Ltd,14637935.76,2067
Kedleston Schools Ltd,14561530.11,330
F G Keen Ltd,14559903.24,141
Bonner Primary School,14533863.91,188
River Garden Care Ltd,14530775.04,1581
Brandon Trust,14455015.64,1242
Hedgewood School,14451669.29,111
Lampton Leisure Ltd,14447262.67,71
NAS Services Ltd,14446697.14,1799
Volker Highways Ltd,14423748.74,262
Cubitt Town Junior School,14388063.17,177
Apex Contractors Ltd,14358922.96,28
UK Power Networks Ltd,14344595.75,1122
Manor School - The Rise Partnership Trust,14335612.13,34
Manorfield Primary School,14316153.11,205
Melrose Special School,14297362.92,31
Livability,14244086.51,1308
Comfort Care Services Ltd,14152148.97,1344
Kings College Hospital NHS Foundation Trust,14085705.97,310
Vibe Teacher Recruitment Ltd,14084471.95,11934
Tilbury Douglas Engineering Services Ltd,14082510.88,76
JLL Ltd,14061102.06,138
NRS Ltd,14003403.08,332
NHS Property Services Ltd,14000920.63,61
GW Highways Ltd,13978184.42,428
NHS South East London CCG,13975891.4,205
Building A Future Ltd,13931308.58,203
Hilton Abbey Ltd,13920037.68,139
CBRE Managed Services Ltd,13919580.85,1521
Geoffrey Osborne Ltd,13890455.56,29
Profad Care Agency Ltd,13884602.04,1435
Maylim Ltd,13868325.38,53
Valence Primary School,13867278.75,155
Selsdon Building Contractors Ltd,13844385.61,66
Health Vision UK,13829488.48,8403
Spa Education Trust,13823095.2,792
Burrows House,13818450.79,286
Fahey Roofing Ltd,13798934.66,16092
Gallagher Bassett International Ltd,13777182.8,188
London Borough Of Southwark,13727655.48,527
CDW,13711383.76,721
Norwood Ravenswood Schools Ltd,13703948.49,1806
OCS Group UK Ltd,13691744.31,1005
Spencer & Arlington Ltd,13666725.66,1493
Riverston Schools Ltd,13636560.31,578
Christ Church C Of E Primary School,13635367.87,283
Excelcare Ltd,13629687.7,531
Marner School,13592208.86,166
Horizon Education Ltd,13550709.69,475
William Bellamy Primary School,13546720.11,170
Avison Young Ltd,13531609.28,937
Linteum Ltd,13506779.64,90
Yarrow Housing Ltd,13450381.1,2844
Woolmore Primary School,13416233.14,173
Savills Ltd,13399855.98,3395
Dennis Eagle Ltd,13340474.29,868
Zurich Insurance Company Ltd,13327686.62,133
LDN London Ltd,13320772.38,1769
London Borough Of Hammersmith & Fulham,13303316.63,370
Caring 4 Croydon Ltd,13272717.72,34
Sage Care Ltd,13268388.45,9875
Aurora Nexus,13258089.72,709
North London NHS Foundation Trust,13243008.6,90
Linden Lodge School - Academy,13232550.52,227
Seabrooke Manor Ltd,13224473.13,4552
Ben Jonson School,13214263.48,204
ZFA Accommodation Ltd,13185010.45,160
Fortem Solutions Ltd,13180950.28,27708
Alphatrack Systems Ltd,13153517.42,1312
Beatrice Tate School,13141627.81,159
South Thames Colleges Group,13105525.64,1290
College Park School,13063218.97,152
Laser Energy Supplies,13061865.42,9526
LTA Direct Ltd,13046296.62,3640
Vibrance Client Account,13035636.04,132
Insurance Claims,13023798.63,158
DWF LLP,12952225.83,990
Amalgamated Lifts Ltd,12898456.87,3261
Links Primary School,12890936.77,99
Berkeley Homes Ltd,12873291.35,35
Grove Care Partnership Ltd,12839202.29,1949
Grafton Primary School,12838138.34,164
Independence Homes Ltd,12815286.98,2704
Integrated Fostering Services Ltd,12747843.49,1253
London Early Years Foundation,12742101.77,970
Capital City College Group,12739267.46,726
South London & Maudsley Hospital,12671857.51,134
Metis Consultants Ltd,12658389.34,2062
Ringgo Ltd,12631468.55,339
M N M Properties Services,12608169.89,118
4 Futures Phase 2 Ltd,12598279.81,59
Alpha UK Properties Ltd,12596586.79,4016
Rhythmic Care UK Ltd,12593388.43,41232
Altwood Properties Ltd,12580376.51,242
Parkguard Ltd,12535595.47,677
Wentworth Estates,12516988.06,1477
Ursuline High School Academy,12496681.61,89
Lampton Investment 360 Ltd,12493041,2
Westminster Society,12474053.48,3340
Housing Gateway Ltd,12471454.01,20
London Borough Of Ealing,12453716.56,226
Hillbrook Primary School,12412704.88,60
Plus,12384365.71,224
Ernst & Young LLP,12335130.88,146
London Borough Of Newham,12322517.26,18154
Central Housing Group Ltd,12276330.8,1073
Northbury Primary School,12263059.08,149
Care UK Services Ltd,12220983.8,735
London Borough Of Haringey,12215956.56,315
Family First Fostering Ltd,12188540.24,4292
Lewisham Homes Ltd,12144406.3,38
Thomas Ridley & Sons Ltd,12126830.73,8620
WSP UK Ltd,12105165.78,1378
Waltham Forest Services Ltd,12091096.24,1328
Pellings LLP,12066064.19,2067
Stonegrove Ltd,12049414.52,244
Precious Homes Ltd,12034093.3,1402
TKC Housing Ltd,12008109.75,158
Refuge,12007563.82,203
Centre 404,12001151.9,2646
Elite Landscapes Ltd,11990847.11,15
Lura Constructions Ltd,11962402.82,881
East London NHS Foundation Trust,11954371.82,177
Sureserve Compliance South Ltd,11921727.79,728
Windmill Care Centre,11899088.38,43
J Murphy & Sons Ltd,11826030.83,128
K &t Heating Services Ltd,11766099.42,700
Cardo Ltd,11761083.25,98
Muschamp Primary School,11752840.16,232
Barnet Lighting Services Ltd,11751363.23,26
People Plus Group Ltd,11749076.95,7600
Chislehurst Care Ltd,11729433.64,398
Blakedown Landscapes Ltd,11702322.97,144
Millfields Community School,11700365.28,132
Goldsmith Personnel Ltd,11691190.36,1924
Price Waterhouse Coopers,11687486.45,333
Octavia House Schools Ltd,11657258.17,529
NU Technology And Learning Centers,11615474.61,51
E W Beard Ltd,11605776.48,28
Perfect Circle JV Ltd,11577539.69,324
Rut Schools Services Ltd,11574650.8,31
St Mungo Community Housing,11574402.14,91
Computacenter Ltd,11560203.78,877
Rush Green Primary School,11559720.96,274
Acorn Lodge Ltd,11554381.31,751
DSSL Group Ltd,11538758.82,1061
New ERA Fuels Ltd,11528575.61,752
Highshore School,11510206,148
Stephen Hawking School,11486385.34,185
Secured Lets Ltd,11467085,15502
North Middlesex University Hospital NHS Trust,11462155.48,93
A2 Dominion Housing Group Ltd,11414238.59,173
Sunbeam Fostering Agency Ltd,11399733.68,4074
Riverside Bridge School,11392847.95,64
Turney School,11391126.26,136
Beis Rochel D'satmar Girls' School,11361716.35,111
Grant Thornton UK LLP,11358002.5,223
Baily Garner Ltd,11348764.77,1929
Quinn London Ltd,11317278.68,98
St Mungo's,11312626.31,363
Queensbridge Primary School,11309994.79,192
Woodford Children's Home Ltd,11300979.07,931
Vibrance,11292807.79,6216
Dimensions UK,11272310.07,1777
Greenwich Millenium Village Ltd,11268072.53,17
Arnhem Wharf Primary School,11229347.08,179
Beyondautism,11220909.73,304
The Bridge Mat Ltd,11201694.87,170
Methodist Homes For The Aged,11178279.65,2329
City Care Agency Ltd,11174222.64,2158
Care UK Community P'ships Ltd,11145976.82,233
Constellia Public Ltd,11143147.15,889
Heart Of London Business Alliance,11142941.43,96
Oracle Corporation UK Ltd,11121903.62,314
Evouchers Ltd,11100910.66,418
Lifeways,11087498.6,403
Hackbridge Primary School,11079491.77,185
Wimbledon Chase Primary School,11073965.52,43
VIA Community Ltd,11071321.78,100
Future Ealing Ltd,11059178.53,22
Limetree Healthcare Ltd,11051764.79,56
Willows Estate Agents,10993444.6,498
Olga Primary School,10982094.81,172
NRT Building Services Group Ltd,10963946.93,15418
SK Housing Ltd,10957534.8,1401
Centaur Overland Travel Ltd,10949704.6,145
Community Living Kenbury House Ltd,10938868.14,603
Cranmer Primary School,10921310.05,53
Barnet & Southgate College,10912229.58,158
MX Estates Ltd,10887545.01,276
Pinnacle FM Ltd,10873991.63,108
Premier Inn,10868734.88,633
Country Court,10860669.24,50
Smartspace Property Solutions Ltd,10849171.52,3324
Sunrise Mental Health Ltd,10840424.68,2695
Tyco Fire & Integrated Solutions UK Ltd,10826807.07,629
Macintyre Care,10808666.74,1069
Seva Education Health & Care Ltd,10786958.12,4148
George Carey Church Of England Primary S,10776725.11,148
Enfield Lighting Services Ltd,10740594.04,24
JC Michael Groups Ltd,10727734.8,1260
Solace Womens Aid,10712817.83,301
Click Travel,10671213.08,11127
London Borough Of Waltham Forest,10661776.48,306
Lumensol Ltd,10660211.06,288
