supplier_clean,amount,rowcount
PCC Of St Martin West Acton Parish,1000,2
Mr Elliott Cushnie,1000,1
Miss Fiona Louise Brice,1000,1
ADL Traffic And Highways Engineering Ltd,1000,1
Miss Casey Jay Andrews,1000,1
Credifon AC Quadient,1000,1
Gold Jennings Ltd,1000,1
Ppre Ltd,1000,1
St Andrew's Pocket Allotment,1000,1
Telnik Scaffold Ltd,1000,1
PCC Of The Holy Redeemer,1000,1
I & V Scaffolding Services Ltd,1000,2
Cleanmercial,1000,1
Good Business Fundation,1000,1
Camberwell Green URC,1000,2
Heron Waye Community Allotment,1000,1
Callie Nestleroth,1000,1
Heston Asian United Reformed Church,1000,1
David Stickland,1000,2
Unibox Boxing Rings Ltd,1000,2
Miss Lucy A Wilkins,1000,1
Friends Of Inwood Park,1000,1
Nadia Awad,1000,1
Heathfield Court Care Home,1000,2
Teachermatic,1000,1
Helen Gladstone House Ltd,1000,1
Redband Music Ltd,1000,2
Friends With Diabetes UK,1000,1
Clementine Pillai,1000,1
Carbon Law Partners Group Ltd,1000,1
United Reformed Church Charlton,1000,2
Teamwork Universes Ltd,1000,1
Arts Canteen,1000,1
Prashanth Govindan,1000,2
Powerjam C I C,1000,1
Stevenage Lettings Ltd,1000,1
Kerry Lemon Ltd,1000,1
Redacted Solicitors,1000,1
Cameron Graham,1000,1
Camp Trans CIC,1000,1
Miss C P De LA Mare,1000,1
Union Press Ltd,1000,1
Golborne Forum,1000,1
Clayton Crescent Residents Group,1000,1
Clever Cloggs Nursery,1000,1
Clearview Cleaning Services,1000,1
Mean Mail Ltd,1000,1
London Life Solutions,1000,1
Ledger Scaffolding London Ltd,1000,1
PAF UK LN Ltd,1000,1
St Augustine's Childrens Centre,1000,2
Stella-may Brown,1000,2
Steven Umoh,1000,1
Goldy Goldy Asian Womens Group,1000,1
Goetre Villa Ltd,1000,2
Kweku Aggrey-orleans,1000,1
Soulfood Catering Ltd,1000,1
Castle View School Academy Trust,1000,2
John Cabot Academy/cabot Leaning FED,1000,2
Addiction Support And Care Age,1000,1
Harry Plant,1000,1
Legacy Races Events Ltd,1000,2
Tosun Scaffolding Ltd,1000,1
Mybigcareer,1000,1
Red & Black Scaffolding Ltd,1000,1
Basch Helps CIC,1000,1
Bonnygate Primary School,1000,2
Bolt Production And Post Ltd,1000,1
North Cray Neighbourhood Centre,1000,2
Sophie Sirota,1000,1
Mellor Scaffolding Ltd,1000,1
Grand LEO UK Productions Ltd,1000,1
Strawberry Hill Residents Asso,1000,2
Grant Smith Law Practice,1000,1
Grant Ford Ltd,1000,1
Naccc,1000,1
Max Montgomery,1000,1
Neuroleadership Institute Ltd,1000,1
Reklaw Education Ltd,1000,1
Debden Park High School,1000,2
SIN Wai KIN Studio Ltd,1000,1
Park Uare Barristers,1000,1
Wheat Mentor Support Trust,1000,2
Initiative.dkf,1000,1
The Noire Space,1000,1
MOH Law LLP,1000,1
NXT LVL Scaffolding Ltd,1000,1
Mimis Studio Ltd,1000,1
Its UR Builder Ltd,1000,1
Pole Star Publications Ltd,1000,1
The Wilde Foundation,1000,2
JFB Lettings Ltd,1000,1
William Edwards School,1000,2
Girl About Social Ltd,1000,1
Levi Baynes,1000,1
Farsight Corporation Ltd,1000,1
The Oaks Eltham Ltd,1000,1
Elford Commercial Ltd,1000,2
Optik Ltd,1000,1
Thompson And Co Solicitors Ltd,1000,1
Wormholt TRA,1000,2
Big Red Scaffolding Ltd,1000,1
Freddy Wordsworth,1000,1
Street Soccer Ltd,1000,1
Extra Secure Scaffolding Ltd,1000,1
The Labour Party,1000,1
Lutterworth College,1000,2
Coulsdon Athletic Football Club,1000,1
The Chelmsford Diocesan Board Of Finance,1000,1
SIP & Twist,1000,1
Millie-helathcare Ltd,1000,2
The Outhouse,1000,2
Norfolk County Fund,1000,1
Zena Everett,1000,1
Innercity Scaffolding Ltd,1000,1
Shomrim,1000,1
OWL Films Ltd,1000,1
St George's Healthcare NHS Trust,1000,1
Iftin Teaching And Training Organisation,1000,1
C-inclusively CIC,1000,2
Princes Place Residents Association,1000,1
Giggling Panda Ltd,1000,1
Future Scaffolding Ltd,1000,1
Holly Revell Photography,1000,1
Fashion Dreamscape Ltd,1000,1
Windrush Caribbean Film Festival CIC,1000,1
Becklow Gardens TRA,1000,2
Modern Milkman Ltd,1000,1
Beau Gray Scaffolding Ltd,1000,1
Traiton Rudkin,1000,1
Ms Jacqueline Rose,1000,1
DS Scaffolding Ltd,1000,1
Diamond Acoustics,1000,1
Mohammed Riaz Malik,1000,1
Sackville Tenants Association,1000,1
WOW Schools,1000,1
Matthew Crofts,1000,2
WSJ Estates Ltd,1000,1
Beauty Mutingondo,1000,1
Graham Spicer Table Tennis Club,1000,1
Village Grill Ltd,1000,1
Angela Dimitrakaki,1000,1
Paresh Wadhwani,1000,1
Ms Sarah I Willson,1000,1
Gough Thorne Solicitors,1000,1
Keltic Traffic Mangement Ltd,1000,1
Sonia Community CIC,1000,1
Hatch End Baptist Church,1000,1
Prime Home Developments - Rural Way Ltd,1000,1
Mr Jose Manuel Ledo Martinez,1000,1
Malvern Business Academy Ltd,1000,1
Dance Together,1000,1
Boss Leisure Entertainment,1000,2
Graham Greenglass,1000,1
Strand On The Green Association,1000,1
Big Fun UK Ltd,1000,2
Hausprint,1000,1
Ryan Hawaii Ltd,1000,1
Gka Apprenticeships Ltd,1000,1
Just The Tipple Ltd,1000,1
Ultimate Learning Resources Ltd,1000,1
The Antiquarian Booksellers' Associ,1000,1
Hindu Gujarati Community Group,1000,1
Our Lady Of The Magnificat Multi-academy,1000,2
Our Time Charity,1000,1
Clare L Skakle,1000,1
60+ Voices Hounslow,1000,1
Wildan Legal Solicitors Ltd,1000,1
Goyea Organics Ltd,1000,1
Yeladenu Pre-school,1000,1
Medical-legal Appointments Limiited,1000,2
Queer Folk Ltd,1000,1
Queer Britain Museum Ltd,1000,1
Ryans Solictors Ltd,1000,1
Pridepark Ltd,1000,1
O M Bros Scaffolding Ltd,1000,1
Westminster Comm For RD Air Quality Ltd,1000,2
Historic Environment Training Ltd,1000,1
Historical Walks,1000,1
Ucem - University Of Estate Management - Apprenticeships,1000,1
The Musical Museum,1000,1
Kevin Holmes-attivor,1000,2
American Institute For Foreign Study,1000,1
Dorset Hall Nursery Parkside Ltd,1000,1
New East Arts Group,1000,1
New Horizon Community Outreach,1000,1
CS Todd & Associates Ltd,1000,1
Smart Works Charity,1000,1
Gina Decagna Creative Service,1000,1
Stanmore & Canons Park Synagogue,1000,1
Feedme,1000,1
Ives J M,1000,1
Roger A Cryer,1000,1
Strategic Health And Wellbeing Services,1000,1
City Of Paris,1000,1
Ark Isaac Newton Academy,1000,1
Just Incarnival MAS,1000,1
MH Costa Construction Ltd,1000,1
Harveys Contracting Group Ltd,1000,1
SBBF Ltd,1000,1
Ezact Scaffolding Ltd,1000,1
J & C Scaffolding Ltd,1000,1
Berwood Scaffolding Ltd,1000,1
Maxi- Jaye Ltd,1000,2
Cobbold Road Estate Committee,1000,1
CT Skills Ltd,1000,1
Regents Park Cricket Club,1000,1
The Association For Geographic Information,1000,2
William Church TRA,1000,2
MAC Collins,1000,1
Maidment Judd Insolvency Ltd,1000,1
Unity Of UK St Lucian Association,1000,2
Mama Haven,1000,2
Universal Design And Build Ltd,1000,1
Keys Co-op Academy Trust,1000,1
Carter Levin & Berg Solicitors,1000,1
Yoga Rocks Ltd,1000,1
Asian Women RUN CIC,1000,2
The Blue School,1000,1
Fawkham Valley Scaffolding Ltd,1000,1
Mind Like Yours CIC,1000,1
Armour Scaffolding UK Ltd,1000,1
Taco!,1000,1
Universal Everything Ltd,1000,1
SP Cooleasy Ltd,999.9,1
Cafe Mad,999.6,1
Lunar Dynasty Ltd,999.3,1
Telephone Payment,999.13,1
Little Adventures Tiney Home Nursery,999,1
Strata Maintenance Ltd,999,1
Newground CIC,999,1
Candypop! Part,999,1
Christian Collins Consulting.com,999,1
Tree Circle Cinema,999,1
Chartered Institute Of Marketing,999,1
The Institute For Social Value,999,1
Adventurous Life And Leadership Ltd,999,1
Gabriel Chavez Kline,998.67,3
Slime Planet Ltd,998.33,1
www.postoffice.co.uk,998.02,5
Counterpoint MTC Ltd,998,1
Intentional Outcome Ltd,998,1
Handmade In Britain Ltd,998,1
Bruel & Kjaer UK Ltd,998,1
Siobhan Doran Photography,998,1
Bogoiu Matei SI Asociatii S.p.a.r.l,997.51,1
Greenwich Steiner School,997.5,1
Data Cars Incorporating Handicars,997.43,3
GP Properties Ltd,997.2,1
Mcveigh Parker,997.02,2
Mobiloo CIC,997,1
Brick Court Chambers,997,1
Keino Bennett,996.91,1
Radisson BLU Edinburgh CI,996.75,1
Cent Anni,996.67,1
Frank Mays Pharmacy,996.19,2
Mrs Karen Sanger,996.14,1
Pound Stretcher,996.06,36
www.iflyworld.co.uk,995.99,1
Abigail R Riley,995.28,1
Stephen Parsons Associates Ltd,995.2,1
Primrose Cercis Ltd,995.08,3
Just Learn Independent School,995,1
Dyslexia Test Centre Ltd,995,1
Float New Media Design Ltd,995,1
Capita Road Safety Ltd,995,1
Jigsaw Pshe Ltd,995,1
Primary Education Advisors Ltd,995,1
WS Maintenance Ltd,995,1
Clinical Partner,995,1
Topserve Business Systems Ltd,995,1
London Film Academy,995,1
Human 1st Ltd,995,1
Waterfront Conference,995,2
Fiona Cameron,995,1
Allmi Ltd,995,1
Emlyn Budds Oak Memorials,995,1
Easifloor Ltd,994.8,1
LDN BGH Waltham Forest,994.59,8
Rougham Estate Sales,994.09,2
Chainlink Bikes Ltd,994,1
Sweetings,993.85,1
www.eronomics.co,993.6,2
Leeds Hotel Operator Ltd,993.6,3
Tendring District Council,992.5,1
Booking.com Hotel,992.39,1
Angel Sushi Ltd,992.3,1
Green Facilities Management Ltd,992,1
Jellyjames Publishing Ltd,991.12,1
Facegym Ltd,991,1
EKO UK,990.8,1
Integration360 Ltd,990.16,1
B Wolfenden Ltd,990,1
Jarguz Property Trading Hub Ltd,990,1
College Park Baptist Church,990,3
Tack TMI UK Ltd,990,1
Copyright Agent,990,2
Forest Gate Pride CIC,990,1
Cascadia Water Ltd,990,1
Original Leak Detective Ltd,990,1
Reliant Leisure Services Ltd,990,3
Greenwich Coalition For Equality And Human Rights,990,1
Blue First Ltd,990,1
Adam Gohil,990,2
Just Markings Ltd,990,1
Tvtuna Ltd,990,2
Bens Bikes Ltd,990,1
Tiger Supplies Ltd,990,1
WIT Tutors Ltd,990,1
Strettons Spreading Services Ltd,990,1
The Self Space,990,1
Jordan Brettell Ltd,990,1
Brainfools Circus CIC,990,1
Faversham House Ltd,990,1
Elevateom,990,2
The Leak Detection Company Ltd,990,2
Hull & Company Ilford Ltd,990,1
Church Hill Primary School,990,1
DOT Sign Language Ltd,990,1
DCBL Ltd,990,2
N.ldn Speech & Language Therapy,990,2
Mohammed Musah,989.76,1
Faire Wholesale UK Ltd,989.6,4
The Meadows Residents Allowance AC,989,1
CLR Ealing Golf Club,988.76,1
MK Womens Aid,988.68,1
Time To Grow! CIC,988.66,1
www.Elmhurstenergy.co,988.4,17
18 Cheverton Road Ltd,988.06,1
GT Carpets,987.5,1
Daklapack Europe BV,987.47,1
Metrofix Ltd,987,1
Curtis Scaffolding Safe Access Ltd,987,1
Afrori Books Ltd,986.82,1
Kingdom Coffee International Ltd,986.8,3
Agent And Homes,986.3,1
Roosters Of Rotherhithe,986,1
A & A Electrical Distributors Ltd,985.92,1
Mildreds,985.87,2
Mol*british Chamber Of Co,985.5,1
Queens.lon Queensskat,985.42,10
Zinc Television London Ltd,985.33,1
Wildlife Windows Ltd,985,1
First Option Clinical Services Ltd,985,1
Farney Close School Ltd,985,1
The Reindeer Centre Ltd,985,1
Cercle Munster,985,1
Sheddington,985,1
www.astutelighting.co.uk,984.96,1
Seven Keys Ltd,984.85,2
Educational Equipment,984.5,1
Best & Co Communications LLP,984.33,1
HR Training,984,2
Star Editions Ltd,984,1
Roar Music Academy,984,1
Dovestone Law,983.1,1
The Bookshop Ltd,983.06,1
SW Railway APP,982.88,16
New River Retail,982.68,1
Sparkes Medical Services Ltd,982.6,5
KAZ A Bokit Ltd,982.5,1
Diocesan Registry,982.2,1
Benita Bakery,982.19,30
Airarabia,982.16,2
Bradley Barrett TAS Amelie`s Place,982,1
M D Diagnostics Ltd,982,1
Sanm Ratnam & Partners,981,1
Almega Promotional Gifts Ltd,980.5,4
38-40 Fernlea Road,980.46,1
L & C Webb,980,1
Evac+chair International Ltd,980,1
Ahdf Event Ltd,980,1
Bob Kirkland Steeplejacks Ltd,980,1
Keegan Goodman,980,1
Hanwell Methodist Church,980,2
Dr Mike Shaw,980,1
Anne Baglin,980,1
Axbury Events Ltd,980,1
Hillcrest School And Sixth Form Centre,980,1
MW Care Training And Consultancy Ltd,980,2
Turners & Locksley Street Resident ASS,980,2
BWT,979.84,2
Power Tool World,979.84,2
Gain Capacity Experts Ltd,978.75,1
Mohamad Rasoolzadeh,978.5,3
Carlightbulb,978.28,2
Oakfurnituresuperstore,978,1
Hackett Ltd,977.8,1
Tiverton Primary School,977.6,2
Lift Schools Noel Park Primary,977.56,1
Maritime Minis Ltd,977.55,1
Working Planet Payment,977,3
Leaddev,976.65,1
HSBC Oxted Branch,976.32,1
Ticketingprofessionals,976,2
Worldwide Golf Brands Ltd,975.6,1
Catalyst Services UK Ltd,975.33,1
Metrol Springs Ltd,975.2,2
New Leaf Health Ltd,975,1
Ltoa,975,1
Get FED,975,1
Community Heart,975,2
Mouse Tail Ltd,975,1
Queens Park Hotel,975,2
Natas Training Ltd,975,1
Barnfields Riding Stables,975,1
John Duckett,975,1
Lee Binder,975,1
Mr Neil Jordan,975,1
Get FED Coffee CIC,975,1
Brendarco Ltd,975,1
David A Grand,975,1
Jonathan Teanby,975,1
Natas Asbestos Training Ltd,975,1
Endurance Osas,974.59,1
Museums Asctn,974.33,4
C Hill Homes Ltd,974,2
Ecprof,973.94,2
Www Rawlinspaints Com,973.93,2
Lisa Cookson,973.5,1
Dagmara Krolewicz,973.5,1
Excite Audio Visual Ltd,973.15,2
Capcut,973.01,16
JNM Events Ltd,973,1
Aqua LOO Toilet Hire Ltd,972.5,1
Coniston Ltd,972.4,1
City Suburban Tree Surgeons Ltd,972,1
Clay Time Pottery Place CIC,972,3
Rajuk-infinity.com,971.83,2
LCP Properties Ltd,971.17,2
Logicat,971,1
CSK Partners,970.37,2
Giffgaff,970.14,59
Harley Street Ambulanc,970,2
Colliers Guest,970,2
Ham Wharf Mooring Cooperative,970,1
Noel Gray Building Maintenance,970,1
Easy Weddings,970,1
JD Corp Ltd,970,1
The Foundation Stage Forum Ltd,970,2
Turay Homes Ltd,970,1
Mousetrap Theatre Projects,970,1
Park Lane Window Services,970,3
Tools4trade,970,1
Cs*morrisons Gift Card,969.73,7
GIA Bhullar,969.6,1
Hope International,969.06,1
Convey Technology Ltd,969,2
Carlton Samuel,969,1
Bloon,969,1
Wai Kit Edward Lun,968.5,1
Printed 4 You Ltd,968,1
West Coast Window Systems Ltd,968,1
Hillingdon Fencing Co Ltd,968,1
Cornerstone Property Group Ltd,968,1
Consortium Of Local Education Authorities For The Provision Of Science Services,967.52,1
Sarah El-taki,967.5,1
Hillgate Managemen,967.4,1
Chronicle Digital Storytelling Ltd,967.35,1
MYA Mcmullen,967.3,7
Two Fold Ltd,967.15,1
The Guinness Parte,966.99,1
A Elfes,966.5,2
Jane Clarke,966.27,1
Xpert Bodywork Ltd,966,1
Winch Design,965.99,1
Mobilitybase Ltd,965.39,1
Piggies,965,4
Jewish Free School,965,3
Bozcader Charity,965,2
Utmost Life And Pensions Ltd,964.23,3
Romulus Films Ltd,964.16,1
The Brampton Property Group Ltd,963.72,1
National Appropriate Adult Net,963.33,1
Eileen Moore,963.17,1
DMR Collation Ltd,963.11,2
Kie Leadership Training And DEV,963,1
Fanshawe Community Association,963,3
Dexters Estate Agents,962.77,1
ACE Children's Occupational Therapy,962.5,1
Awards4u,962.5,1
M & M Family Caterers Ltd,962.5,1
The Black Nursery Manager Ltd,962.5,1
Gails Bakery,962.15,81
Dr Adam Campbell,961.77,2
Danube Developments Ltd,961.58,1
Dr L M Rippon,961.33,1
Stephanie Chapman Consulting,961.15,1
BAL Krishna Education Trust,960.93,1
British SKY Broadcasting Ltd,960.9,1
Rolfes Nursery School,960.78,1
Kiwi.com,960.56,3
FD Welters Ltd,960.3,1
Votel Venues Ltd,960.3,3
Crimeline Training Ltd,960,2
The Greenwood Centre,960,1
Successful Sutto,960,1
Ondot Services Ltd,960,1
Nephertiti Schandorf,960,1
Send Success UK Ltd,960,1
Chief Leisure Officers Association,960,2
D And AD,960,1
Alphabet Cars Ltd,960,2
V L Critoph,960,1
Northolt Methodist Church,960,3
Akelius Residentia,960,1
ND Scaffolding Ltd,960,2
Jennifer Warwick Speech & Language Therapy,960,1
Nationwide Transport & Training GRO,960,1
The Society Of Mediators,960,1
Caroline Vallance,960,1
Traintaxi Ltd,960,1
Julieanne Steel,960,1
Table 5 Ltd,960,1
Orbit Pest Solutions Ltd,960,1
Do! Design And Visuals Ltd,960,1
Smartev,960,1
UKHCA,960,1
Direct Educational Furniture Ltd,960,1
Queertopia Consortium,960,1
Diverse Learners Ltd,960,1
Anna Fulton Yoga,960,1
The Middle East Consultancy Service,960,1
Foros Solutions Ltd,960,1
The Web Foundry Consultancy Ltd,960,1
Heston PCC General Fund /heston Parochial Garden Rest,960,1
Megan Byrne Speech And Language Therapy Ltd,960,4
North Peckham & Commercial Way North T & RA,960,1
Lodge Bros. Ltd,960,1
North Harrow Home Guard Club,960,1
Chief Cultural Leisure Off. ASS,960,2
St Dunstan With St Thomas PCC,960,2
Hula 4 Fun CIC,960,1
The Ellie Project,960,1
JD Partnership Ltd,960,1
Ngadi N M M Vandy,959.95,1
Omlet,959.65,1
Datanet.co.uk,959.52,2
Hobbycraft Trading Limite,959.43,22
PB Services Ltd,959.36,1
Valued Communications Ltd,959,1
Tokyustay Takanawa,958.59,1
Sixty Stores Ltd,958.5,3
Blue Badge Protec,958.08,2
Lux,958,1
Alessandra Martinez,957.36,1
Magsubcriptions Com,957,3
Felsted School,957,2
In *latitude Inc NFP,956.75,1
Tekeurope UK Ltd,955.95,2
Decorfolia Ltd,955.5,1
Lidl GB,955.38,46
Think BDW Ltd,955,2
Capital Grille,954.61,1
Lumisphere Products Ltd,954.51,1
Crunchyroll Ltd,954.39,1
Sleeper Cell Productions Ltd,954,1
Inspiratio* Inspiratio,954,3
Coldharbour Brewing Ltd,954,2
www.gopromotional.co.u,953.88,1
Echobox Ltd,953.32,1
Arvato Financial Solutions Ltd,953.23,1
Care Alarms,953.04,1
MOL Bedcare Ltd,951.66,2
Brighter Futures Project,951.65,1
Databac Group Ltd,951,1
www.gatesandaccessorie,950.4,1
Sponsors For Educational Opportunit,950.2,1
Myleasehold Ltd,950,1
Mahal Properties Ltd,950,1
EOD Contracts Ltd,950,1
David Grant Rosenheim,950,1
Spot On Services,950,1
Rejan Goga,950,1
Road Safety GB Accts- National Body,950,2
Pure Moments Ltd,950,1
Mindz In Motion Ltd,950,1
Colectiv Ltd,950,1
Sonic Element Ltd,950,1
Stork And Cradle Ltd,950,1
Waterman Structures Ltd,950,1
Sloane Psychology Ltd,950,1
Lively Minds Club,950,1
Big Wheel Theatre Co,950,1
Mcbrides Accountants LLP,950,1
Coburns Party Wall Ltd,950,1
Marc Coleman,950,1
Lsop Ltd,950,1
Harewood Consultancy Ltd,950,1
Polish British Social Intgration Club Wawel,950,2
Licensed IT Mate Ltd,950,1
The Merrittocracy Agency Ltd,950,1
Mark Chan Poon MCP Marketing Development Services Ltd,950,1
The ANN Craft Trust,950,1
Regency Horse And Carriage Masters Ltd,950,1
MFD Communication Infrastructure Ltd,950,1
Friends Of Cathja,950,1
Ratio Developments Ltd,950,1
Kingdom Business Records Ltd,950,1
Firesafe Solutions Ltd,950,1
Nelson Uare T & RA,950,2
Eden Services Ltd,950,1
Royal College Of Occupational Therapists,950,1
Haart,950,1
Judi Watkinson Interiors,950,1
Mr D I H Evans,950,2
Alison Pryor,950,1
Amelie Ventures Ltd,950,1
Nadia Campbell-brunton,950,1
Dr Jane Clark,950,1
Power Circle Projects Ltd,950,1
Ice Services Group Ltd,950,1
ACT Credit Management Ltd,950,1
Express Publishing SA,950,1
Virdi Satnam,950,1
Eden Park,950,2
Alpine Property Group Ltd,950,1
Greensward Academy,950,1
Aero Arts,950,1
St Peters Acton Green,950,2
Glenfield Invicta Ltd,950,1
Hirani Engineers Ltd,950,1
Springfield Church,950,1
Glazerbrooke Associates Ltd,950,1
Walking Group,950,2
Sitech Surveyng Services,950,1
DJ Switch Entertainment Ltd,950,2
Floral Hall,950,1
No Limits Media Solutions Ltd,950,1
Bowyer Bryce,950,1
John Whiteman & Co,950,1
Tendai Dombojena,950,1
Motion Consultants Ltd,950,1
The Recshop CIC,950,1
St Andrew¿s Church,950,1
Jane Little Soft Furnishing & Upholstery,950,1
Wirral Wholesale Flooring,950,1
Ragged School Museum Trust,950,2
S J Signs Ltd,950,2
Cook & Associates,950,1
Turfdry Ltd,950,1
Aframba Service Ltd,950,1
J And M Garden Maintenance,950,1
Martin Made IT,950,1
Contarnex Europe Ltd,949.98,3
Ritas Katering Ltd,949.97,3
Elcroft KMP Solutions Ltd,949.5,1
Mountain Warehouse Ltd,949.17,11
Bentleyfielden.co,949,1
Charles Fellows Supplies Ltd,948.8,1
Boing Rapid Secure Ltd,948.68,4
Hotel Carlton Cannes Rece,948.22,1
Bluelime Retail Ltd,948,1
Cally Connects Us,948,1
Ilknur Toprak,948,1
Schoolhire B,947.94,2
POP UP Arcade Ltd,947.9,3
Pentland Group Ltd,947.75,1
Nitin Pandit And Dilip Joshi,947.39,1
Science Boffins Labs Ltd,947,3
Summit Transport Ltd,947,3
House Sign UK Sign SH,946.8,2
Devicecharger,946.65,1
Device Charger Ltd,946.65,1
Burke & Wills Removal Ltd,946.2,1
My Backyard INT Ltd,946.02,1
Pitru Ltd,945.99,1
Ioma Clothing Co Ltd,945.6,1
Compete Event Solutions Ltd,945.54,4
Time & Tune,945.5,1
Graphic Arts Ltd,945.25,1
Talking Life Training,945,1
Reservations Conferences Ltd,945,1
The Church Of Holy Innocents,945,2
Rominar Ltd,945,1
LB Harrow General Account,945,1
Triguna Ventures Ltd,945,1
Auditory Verbal UK,945,1
Construction Health & Safety Group Ltd,945,1
Christ Church Reform Church Bellingham,945,2
Redacted And Associates,943.8,2
Enfield Asian Welfare Association L,942.08,1
Corporate Financial Management Systems Ltd,942,1
Leaps And Bounds Tiney Home,941.85,1
Sheet Materials W,941.27,3
Welling Community Centyres Trust,941.17,1
Wordfence.com,941.05,3
65 Blomfield Road Freehold Ltd,940.98,1
STR Print Design,940.1,1
Pedal Me,940,1
Trent Park Equestrian Centre Ltd,940,2
Redsorel Ltd,940,1
Univ Hosp Southampton,940,1
www.housing.org.uk,940,2
Chapra Residents Association,939.27,1
Progress Lodge Ltd,939.12,1
Sublime Science Ltd,939,2
The Together Conference,938.88,1
Hotel Saint,938.82,1
Wigmore Estates Commercial Ltd,938.25,1
Cryoservice Ltd,938.06,1
Full Cycle Bicycle Project CIC,938,1
Mrs Daljit Kaur Athwal,937.5,3
Heatnet Consulting Ltd,937.5,1
Anne Spratling,937.5,1
Brackenbury Property Management,937.5,1
St Quentin GDNS 9 Client Account,937.5,1
Talkies Community Cinema Society,937.45,3
Fever Uid Game The E,937.2,3
Rossetts UK Ltd,937.1,1
Momtaz Begum-hossain,937,1
Rawlins,936.88,3
Rackspace,936.61,1
Hamworthy,936.61,1
Arti Promotions,936.6,2
Crayford Superstore Ltd,936.18,1
Integrating Solutions Ltd,936.14,2
Doors4security Ltd,936,1
North Harrow Methodist Church,936,2
Hadley Memorial Hall,936,2
Footasylum Ltd,935.49,12
DBT London,935,1
www.ioic.org.uk,935,3
Bridgepoint Homes Ltd,935,1
One Step Beyond Flooring Wholesale,934.83,1
Dr Caroline Oliver,934.83,1
Debenhams.com,934.2,3
Sonia White,934.07,1
Mistura Adebanjo,934.07,1
London Borof Hill,933.93,9
Subway,933.72,38
Abbey Wood SST,933.66,8
Acacia Environment,933.33,1
www.annafreud.org,933.33,6
Advocate,932.59,1
WS Planning & Architecture,932.5,1
Moat Housing Society Ltd,932.21,1
Gainborough Place Residents Co 2 Ltd,932.13,1
HIE Royal Docks PBL,932,1
Your Party Hire UK,931.07,2
Curious Cubs Charlton Ltd,931,1
St Jerome Bilingual,930,1
Get On Down's,930,1
Explorer Dome Ltd,930,1
Aquabella London Ltd,930,1
Kingsdown Methodist Church,930,2
Arkley Association,930,2
High Voltage Events,930,2
WU SHI Taiji Quan And QI Gong Assoc UK,930,1
Wellhung Ltd,930,1
Rachna Joshi Ltd,930,2
Rise Climbing Project Ltd,930,2
Neurodiversity Consulting UK Ltd,930,2
Cross Country Rail,929.27,7
The Decor Group,929.16,1
BWR Recruitment Ltd,928.8,1
Ekim Abaci,927.7,1
Total Communication Interpreting Service,927.45,2
Lindley:productions,927,1
Featherstone Sports Centre Trust,927,2
Mabel Brooker,926.92,1
Native Promotions,926.1,2
Asana.com,926.05,7
Potential Realised,926,1
Incentive P Ltd,925.8,2
Arapina Bakery Ltd,925.75,1
AL Horsfield Ltd,925,1
London Waste Management Ltd,925,1
Solutions For Accounting Ltd,925,1
Barrister - 42 Beford Row,925,1
RU Veda Ltd,925,1
www.buybrandtools,925,1
St Stephens Church Hall,925,2
Novus Care Ltd,924.96,1
Aspire Care Support Services Ltd,924.3,2
Powtoon Ltd,924.28,2
Little People Nurseries Ltd,924.16,1
Jahanara Begum,924.15,1
Massive UK Ltd,924.03,1
Binning Property Corporation,924,1
Hawk Management UK Ltd,924,1
MD Ltd,924,1
Communityplaythings UK,924,5
SP Daals.co.uk,923.25,4
Nauticalia Ltd,923.07,1
Mr. J. Ticher,923,1
Lascar Electronics,922.95,3
British A HOL,922.74,2
Engine,922.71,1
ACL Electrical Ltd,922,1
SP Gloveswholesale,921.87,3
J & A International Ltd,921.75,4
Safestay Holland Park,921.62,11
Martins Upholstery SUP,921.55,5
Buttle UK,921,1
Irvine's Pharmacy Ltd,921,3
69 Elisham Road Ltd,921,1
Planned And Plated Ltd,921,1
Comfor-sign Ltd,920.83,1
Hatching Dragons City Ltd,920.5,1
Rokas Kamblevicius,920,3
KPS Ltd,920,1
Beecholme & Casimir Tenants & Residents,920,2
Quintain Ltd,920,1
Kwik Sweep,920,1
Dawn Sullivan,920,1
Recycling With Skips Ltd,920,1
HSB Engineering Insurance Ltd,920,1
Julia Butterworth Munn,920,2
Back In The Saddle Bikes,920,1
Edenhaven Ltd,919.95,1
A.c.stoneworks,919.95,3
Enchanted Florist,919,2
The Colby Group Ltd,918.02,1
Relate London North West Herts MID Thames And Bucks Ltd,918,1
www.stagecoach.co.uk,918,3
Professional Books,917.54,3
Litter Action Group Ealing Residents,917.48,2
National Express Ltd,917.46,24
Hong Kong Counsellors Hub,917,1
KCC Travel Saver,916.66,2
Street Life Ltd,916.02,1
Allen Associates,915.55,1
Matildas,915.2,4
Edinburgh Innovations Ltd,915.16,1
Essex Bodies Commercial,915,2
Cheam & Cuddington Horticultural Society,915,1
Grassmats Ltd,915,1
Life Environmental,915,1
Ahren George,914.62,1
Swell UK Ltd,914.2,1
BTME Group Ltd,914.18,2
Shauna Blanchfield,913.7,1
VET Well Soon Ltd,913.5,1
ETP Ltd,913.5,3
Langthorns Plantery,913.42,3
Nhsbsa PPC Online PMT,913.1,8
www.ebydesign.co.uk,912.89,3
Engelbert Strauss Ltd,912.81,6
www.rrc.co.uk,912.8,3
The Grill Club,912.61,25
Multi-tip,912.54,1
All Flutes Plus,912.5,1
MML Marketing Ltd,912.48,1
Absolute Enforcement,912.2,1
